City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1688781,City of San Pedro,PH,14.35,121.0167,79.11,74,75,8.05
1835848,Seoul,KR,37.5683,126.9778,42.76,87,0,3.44
342567,Bedelē,ET,8.456,36.353,80.67,25,48,0.87
3397963,Itamaracá,BR,-7.7478,-34.8256,84.2,61,40,11.5
1786764,Yichang,CN,30.7144,111.2847,54.0,88,99,3.09
2427336,Moussoro,TD,13.6408,16.4901,108.86,4,0,14.65
2132606,Samarai,PG,-10.6167,150.6667,81.81,81,94,9.28
3521108,Progreso,MX,21.2833,-89.6667,79.43,65,1,11.5
1516048,Khovd,MN,48.0056,91.6419,40.89,45,98,18.52
3421765,Nanortalik,GL,60.1432,-45.2371,27.73,58,100,10.58
2738381,Lata,PT,40.1629,-8.3327,59.38,60,51,3.0
3924668,Abapó,BO,-18.8333,-63.4667,89.53,31,28,4.52
2139521,Noumea,NC,-22.2763,166.4572,73.4,78,0,9.35
1214488,Meulaboh,ID,4.1363,96.1285,74.26,95,100,10.65
2122090,Pevek,RU,69.7008,170.3133,11.57,95,100,7.38
780687,Berlevåg,NO,70.8578,29.0864,23.0,74,75,6.91
962367,Richards Bay,ZA,-28.783,32.0377,83.48,66,0,13.44
57000,Hobyo,SO,5.3505,48.5268,81.54,72,56,14.45
1259385,Port Blair,IN,11.6667,92.75,81.28,72,14,4.07
3652764,Puerto Ayora,EC,-0.7393,-90.3518,81.52,78,40,11.5
1855612,Nara,JP,34.6851,135.8049,44.78,58,5,3.0
3118304,Llanes,ES,43.4198,-4.7549,59.99,58,42,13.0
2629833,Husavik,IS,66.0449,-17.3389,26.6,74,75,17.27
3419842,Sisimiut,GL,66.9395,-53.6735,13.57,85,97,4.61
1283285,Jumla,NP,29.2747,82.1838,42.19,84,38,2.42
2184707,Wanaka,NZ,-44.7,169.15,47.57,88,0,6.17
2074113,Collie,AU,-33.3667,116.15,55.0,76,0,8.48
935214,Saint-Pierre,RE,-21.3393,55.4781,76.03,74,20,20.71
2374583,Bubaque,GW,11.2833,-15.8333,78.66,62,97,12.19
1006984,East London,ZA,-33.0153,27.9116,86.0,45,20,5.75
2396518,Port-Gentil,GA,-0.7193,8.7815,87.8,62,20,5.75
3919998,Cobija,BO,-11.0267,-68.7692,78.8,78,40,3.44
5386754,Redlands,US,34.0556,-117.1825,42.03,81,1,2.01
2457161,Gao,ML,16.6362,1.637,91.02,6,0,11.05
236524,Rafai,CF,4.95,23.9167,94.73,30,85,5.46
5367788,Lompoc,US,34.6391,-120.4579,48.11,76,90,5.75
3460513,Iturama,BR,-19.7281,-50.1956,84.16,53,99,4.83
3466165,Cidreira,BR,-30.1811,-50.2056,79.3,61,25,7.02
3650121,Yaguachi Nuevo,EC,-2.1167,-79.6833,78.8,83,75,4.61
1067565,Beloha,MG,-25.1667,45.05,76.89,73,1,17.78
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,51.8,71,100,2.3
2641598,Newport,GB,51.5877,-2.9984,40.68,82,92,1.01
3355672,Lüderitz,NA,-26.6481,15.1594,73.85,65,3,13.98
3868633,Vallenar,CL,-28.5708,-70.7581,75.99,49,1,6.49
4035715,Avarua,CK,-21.2078,-159.775,77.0,88,40,8.05
2074865,Carnarvon,AU,-24.8667,113.6333,80.6,78,0,13.8
